NetID,Last Name,First Name,Email Address,Ceiling Score,Final Grade
ara97741,Adams,Amy,amy.adams@univ.edu,75.0,C
cxa22039,Allen,Christina,christina.allen@univ.edu,79.0,C
lxb98047,Baldwin,Lucas,lucas.baldwin@univ.edu,83.0,B
wxb12345,Barrera,Woody,woody.barrera_jr@univ.edu,75.0,C
jxb40799,Bauer,John,john.bauer@univ.edu,78.0,C
djb29817,Beck,David,david.beck@univ.edu,68.0,D
rjb91830,Bennett,Richard,richard.bennett@univ.edu,79.0,C
cxd92501,Dennis,Cameron,cameron.dennis@univ.edu,67.0,D
eed42850,Dudley,Emily,emily.dudley@univ.edu,74.0,C
exd72538,Duffy,Erin,erin.duffy@univ.edu,79.0,C
rge65208,Elliott,Richard,richard.elliott@univ.edu,77.0,C
kxf45205,Faulkner,Katelyn,katelyn.faulkner@univ.edu,75.0,C
txf41578,Foster,Tommy,tommy.foster@univ.edu,74.0,C
jag55224,Garza,Jessica,jessica.garza@univ.edu,78.0,C
mjg41514,Gonzalez,Matthew,matthew.gonzalez@univ.edu,76.0,C
cxg21963,Guzman,Cynthia,cynthia.guzman@univ.edu,74.0,C
jlh15029,Harris,John,john.harris@univ.edu,86.0,B
cxh80084,Hart,Colleen,colleen.hart@univ.edu,70.0,C
thh29195,Hernandez,Taylor,taylor.hernandez@univ.edu,80.0,B
edh14938,Houston,Emily,emily.houston@univ.edu,79.0,C
bch39598,Hunt,Brett,brett.hunt@univ.edu,80.0,B
dcj14616,Jones,Daniel,daniel.jones@univ.edu,72.0,C
mxj54725,Jones,Michele,michele.jones@univ.edu,74.0,C
txj12345,Joyce,Traci,traci.joyce@univ.edu,73.0,C
pmk49230,King,Paige,paige.king@univ.edu,84.0,B
mxl67812,Lee,Michelle,michelle.lee@univ.edu,80.0,B
msl77920,Lopez,Mark,mark.lopez@univ.edu,77.0,C
nxm87406,Mann,Nicole,nicole.mann@univ.edu,86.0,B
sgm04582,Marshall,Shawn,shawn.marshall@univ.edu,72.0,C
jxm83777,Miller,Jorge,jorge.miller@univ.edu,80.0,B
kam90876,Moore,Kimberly,kimberly.moore@univ.edu,76.0,C
dxn21936,Nguyen,Donna,donna.nguyen@univ.edu,73.0,C
tmo55387,Ortega,Tiffany,tiffany.ortega@univ.edu,77.0,C
txp55047,Parker,Timothy,timothy.parker@univ.edu,82.0,B
mjp68159,Patrick,Mark,mark.patrick@univ.edu,75.0,C
dxp49123,Payne,Douglas,douglas.payne@univ.edu,73.0,C
jmp63760,Pena,Jonathan,jonathan.pena@univ.edu,75.0,C
ksp17362,Petersen,Kristin,kristin.petersen@univ.edu,75.0,C
bdp78944,Powers,Brooke,brooke.powers@univ.edu,81.0,B
rkr43763,Rice,Rhonda,rhonda.rice@univ.edu,79.0,C
bms82804,Sanders,Beth,beth.sanders@univ.edu,73.0,C
rxs30280,Saunders,Richard,richard.saunders@univ.edu,76.0,C
bxs54690,Schwartz,Billy,billy.schwartz@univ.edu,78.0,C
kxs29884,Smith,Kerry,kerry.smith@univ.edu,76.0,C
mxs33416,Smith,Matthew,matthew.smith@univ.edu,75.0,C
txt65366,Terry,Thomas,thomas.terry@univ.edu,81.0,B
sxt33634,Thomas,Sandra,sandra.thomas@univ.edu,77.0,C
jxu45537,Underwood,James,james.underwood@univ.edu,77.0,C
sxv18182,Vasquez,Sara,sara.vasquez@univ.edu,68.0,D
jxw53347,Walls,Joyce,joyce.walls@univ.edu,75.0,C
jxw98212,Walsh,Jill,jill.walsh@univ.edu,72.0,C
axw80146,Warren,Angela,angela.warren@univ.edu,77.0,C
tsw14969,Warren,Tamara,tamara.warren@univ.edu,84.0,B
txw75701,Washington,Travis,travis.washington@univ.edu,79.0,C
sxw76890,Weber,Samuel,samuel.weber@univ.edu,80.0,B
jty40106,Young,Joseph,joseph.young@univ.edu,81.0,B
